Time,Error
689,0.077675
690,0.083610
691,0.073280
692,0.074018
693,0.074427
694,0.069587
695,0.061999
696,0.066069
697,0.066401
698,0.067546
699,0.064432
700,0.065323
701,0.091711
702,0.085097
703,0.089325
704,0.091952
705,0.083265
706,0.082191
707,0.082471
708,0.083025
709,0.084742
710,0.080665
711,0.078497
712,0.073618
713,0.076341
714,0.077906
715,0.078445
716,0.079870
717,0.068521
718,0.064046
719,0.064901
720,0.066075
721,0.069433
722,0.070854
723,0.071069
724,0.070837
725,0.072590
726,0.064074
727,0.059906
728,0.061153
729,0.057388
730,0.061720
731,0.060882
732,0.060634
733,0.057423
734,0.052984
735,0.053369
736,0.057225
737,0.057659
738,0.049586
739,0.047512
740,0.042584
741,0.046163
742,0.046687
743,0.043124
744,0.047352
745,0.043535
746,0.046561
747,0.047203
748,0.046650
749,0.045139
750,0.043010
751,0.046654
752,0.049008
753,0.050415
754,0.054463
755,0.052633
756,0.056107
757,0.052850
758,0.055193
759,0.056524
760,0.054471
761,0.058858
762,0.056989
763,0.057954
764,0.059799
765,0.060053
766,0.084092
767,0.084292
768,0.114960
769,0.106258
770,0.098264
771,0.090968
772,0.121996
773,0.112266
774,0.097180
775,0.093340
776,0.089483
777,0.080909
778,0.084170
779,0.073161
780,0.065874
781,0.074921
782,0.067118
783,0.066068
784,0.090130
785,0.085218
786,0.079194
787,0.081247
788,0.070267
789,0.095196
790,0.088661
791,0.104281
792,0.101685
793,0.091496
794,0.094313
795,0.085846
796,0.085394
797,0.077589
798,0.078657
799,0.072851
800,0.069671
801,0.071524
802,0.068514
803,0.064301
804,0.062601
805,0.064284
806,0.062476
807,0.059661
808,0.059646
809,0.055568
810,0.059813
811,0.054440
812,0.051518
813,0.046725
814,0.053467
815,0.059836
816,0.083490
817,0.081981
818,0.080041
819,0.075136
820,0.072309
821,0.073609
822,0.078541
823,0.078821
824,0.082727
825,0.078129
826,0.077786
827,0.075445
828,0.073897
829,0.075023
830,0.068494
831,0.066449
832,0.060189
833,0.061255
834,0.062238
835,0.056960
836,0.058000
837,0.058969
838,0.060149
839,0.057761
840,0.053579
841,0.051093
842,0.050744
843,0.046847
844,0.047007
845,0.047203
846,0.042845
847,0.044132
848,0.044563
849,0.045912
850,0.045166
851,0.042787
852,0.040578
853,0.040851
854,0.040967
855,0.045678
856,0.045182
857,0.044053
858,0.046182
859,0.040594
860,0.057514
861,0.057933
862,0.080786
863,0.079262
864,0.078710
865,0.068590
866,0.062856
867,0.063949
868,0.062381
869,0.060915
870,0.060803
871,0.060995
872,0.062144
873,0.062572
874,0.063619
875,0.056536
876,0.053716
877,0.055013
878,0.054188
879,0.050790
880,0.051267
881,0.052462
882,0.056599
883,0.051737
884,0.052098
885,0.045368
886,0.045546
